stratum_short,method_short,metric,value,label,text_colour
all,base-rel,AUROC,0.5304094867518993,0.530,#111827
all,base-rel,TPR@1%FPR,0.021122846025569762,0.021,#111827
all,base-rel,1-FPR0,0.19166666666666665,0.192,#111827
all,CML,AUROC,0.9966768575134334,0.997,white
all,CML,TPR@1%FPR,0.990550305725403,0.991,white
all,CML,1-FPR0,0.9983333333333333,0.998,white
cross,base-rel,AUROC,0.7291826522101752,0.729,white
cross,base-rel,TPR@1%FPR,0.0316930775646372,0.032,#111827
cross,base-rel,1-FPR0,0.19166666666666665,0.192,#111827
cross,CML,AUROC,0.9959730330831248,0.996,white
cross,CML,TPR@1%FPR,0.9866555462885738,0.987,white
cross,CML,1-FPR0,0.9983333333333333,0.998,white
same,base-rel,AUROC,0.13319444444444445,0.133,#111827
same,base-rel,TPR@1%FPR,0,0.000,#111827
same,base-rel,1-FPR0,0.19166666666666665,0.192,#111827
same,CML,AUROC,0.9980833333333333,0.998,white
same,CML,TPR@1%FPR,0.9983333333333333,0.998,white
same,CML,1-FPR0,0.9983333333333333,0.998,white
