label,group,y,value,density,y_top
R1-Llama student,distilled,2,-1.55,0,2
R1-Llama student,distilled,2,-1.542084942084942,0,2
R1-Llama student,distilled,2,-1.5341698841698843,0,2
R1-Llama student,distilled,2,-1.5262548262548263,0,2
R1-Llama student,distilled,2,-1.5183397683397684,0,2
R1-Llama student,distilled,2,-1.5104247104247104,0,2
R1-Llama student,distilled,2,-1.5025096525096526,0,2
R1-Llama student,distilled,2,-1.4945945945945946,0,2
R1-Llama student,distilled,2,-1.4866795366795367,0,2
R1-Llama student,distilled,2,-1.4787644787644787,2.248757300861539e-18,2
R1-Llama student,distilled,2,-1.470849420849421,4.194385627511716e-18,2
R1-Llama student,distilled,2,-1.462934362934363,0,2
R1-Llama student,distilled,2,-1.455019305019305,1.107023635458084e-17,2
R1-Llama student,distilled,2,-1.4471042471042472,3.5285721618944633e-17,2
R1-Llama student,distilled,2,-1.4391891891891893,2.3043001044589143e-17,2
R1-Llama student,distilled,2,-1.4312741312741313,1.032399053817026e-18,2
R1-Llama student,distilled,2,-1.4233590733590735,0,2
R1-Llama student,distilled,2,-1.4154440154440155,6.145899561687941e-18,2
R1-Llama student,distilled,2,-1.4075289575289576,7.731441068755824e-19,2
R1-Llama student,distilled,2,-1.3996138996138996,8.08617741963409e-18,2
R1-Llama student,distilled,2,-1.3916988416988418,1.2323999233562677e-17,2
R1-Llama student,distilled,2,-1.3837837837837839,7.037799933185293e-18,2
R1-Llama student,distilled,2,-1.3758687258687259,3.6757784356625314e-19,2
R1-Llama student,distilled,2,-1.367953667953668,1.892410576672692e-17,2
R1-Llama student,distilled,2,-1.3600386100386102,5.594435498371223e-18,2
R1-Llama student,distilled,2,-1.3521235521235522,1.2918777860834708e-17,2
R1-Llama student,distilled,2,-1.3442084942084942,0,2
R1-Llama student,distilled,2,-1.3362934362934364,1.6891702365213655e-17,2
R1-Llama student,distilled,2,-1.3283783783783785,2.837747618575397e-18,2
R1-Llama student,distilled,2,-1.3204633204633205,2.2848243615988325e-17,2
R1-Llama student,distilled,2,-1.3125482625482627,2.270772060917672e-17,2
R1-Llama student,distilled,2,-1.3046332046332048,2.1947661239911126e-18,2
R1-Llama student,distilled,2,-1.2967181467181468,3.778313022730678e-17,2
R1-Llama student,distilled,2,-1.2888030888030888,1.85836208095627e-17,2
R1-Llama student,distilled,2,-1.2808880308880308,4.326435452569676e-17,2
R1-Llama student,distilled,2,-1.272972972972973,4.31344838073061e-17,2
R1-Llama student,distilled,2,-1.265057915057915,4.9186457813012725e-18,2
R1-Llama student,distilled,2,-1.2571428571428571,4.453981117339247e-17,2
R1-Llama student,distilled,2,-1.2492277992277994,4.926408871796554e-17,2
R1-Llama student,distilled,2,-1.2413127413127414,6.94256627126466e-17,2
R1-Llama student,distilled,2,-1.2333976833976834,2.1615930341218703e-19,2
R1-Llama student,distilled,2,-1.2254826254826257,0,2
R1-Llama student,distilled,2,-1.2175675675675677,0,2
R1-Llama student,distilled,2,-1.2096525096525097,0,2
R1-Llama student,distilled,2,-1.201737451737452,0,2
R1-Llama student,distilled,2,-1.193822393822394,0,2
R1-Llama student,distilled,2,-1.185907335907336,0,2
R1-Llama student,distilled,2,-1.177992277992278,0,2
R1-Llama student,distilled,2,-1.17007722007722,0,2
R1-Llama student,distilled,2,-1.1621621621621623,0,2
R1-Llama student,distilled,2,-1.1542471042471043,0,2
R1-Llama student,distilled,2,-1.1463320463320463,0,2
R1-Llama student,distilled,2,-1.1384169884169886,0,2
R1-Llama student,distilled,2,-1.1305019305019306,0,2
R1-Llama student,distilled,2,-1.1225868725868726,0,2
R1-Llama student,distilled,2,-1.1146718146718149,0,2
R1-Llama student,distilled,2,-1.1067567567567569,0,2
R1-Llama student,distilled,2,-1.098841698841699,6.378256218161421e-18,2
R1-Llama student,distilled,2,-1.090926640926641,0,2
R1-Llama student,distilled,2,-1.083011583011583,0,2
R1-Llama student,distilled,2,-1.0750965250965252,5.368572377816652e-17,2
R1-Llama student,distilled,2,-1.0671814671814672,2.5361946875382445e-17,2
R1-Llama student,distilled,2,-1.0592664092664092,9.077698855780484e-17,2
R1-Llama student,distilled,2,-1.0513513513513515,7.968535032841142e-17,2
R1-Llama student,distilled,2,-1.0434362934362935,1.0234423563348648e-16,2
R1-Llama student,distilled,2,-1.0355212355212355,9.149045047622171e-17,2
R1-Llama student,distilled,2,-1.0276061776061778,1.5758636477500864e-16,2
