calibration_tasks,model,accuracy,lineage,residual_error
1,qwen_accuracy,0.672,Qwen lineage,0.32799999999999996
1,llama_accuracy,0.658,Llama lineage,0.34199999999999997
2,qwen_accuracy,0.725,Qwen lineage,0.275
2,llama_accuracy,0.71,Llama lineage,0.29000000000000004
4,qwen_accuracy,0.781,Qwen lineage,0.21899999999999997
4,llama_accuracy,0.765,Llama lineage,0.235
8,qwen_accuracy,0.834,Qwen lineage,0.16600000000000004
8,llama_accuracy,0.812,Llama lineage,0.18799999999999994
12,qwen_accuracy,0.871,Qwen lineage,0.129
12,llama_accuracy,0.853,Llama lineage,0.14700000000000002
16,qwen_accuracy,0.894,Qwen lineage,0.10599999999999998
16,llama_accuracy,0.875,Llama lineage,0.125
