dataset,attack_label,auroc,ci_low,ci_high,tpr_at_1pct_fpr,fpr_zero
GSM8K,Identity,0.9984999999999999,0.991,1,0.9975,0.001
GSM8K,Paraphrase,0.9844999999999999,0.97,0.999,0.974,0.003
GSM8K,Answer-only,0.9515,0.937,0.966,0.9195,0.006
GSM8K,CoT comp.,0.9775,0.963,0.992,0.961,0.004
GSM8K,Style,0.9644999999999999,0.95,0.979,0.944,0.005
GSM8K,Temp/top-p,0.9915,0.984,0.999,0.9835,0.002
GSM8K,Mixed 50%,0.9535,0.939,0.968,0.9315,0.009
GSM8K,Low-score,0.9704999999999999,0.956,0.985,0.949,0.005
MATH,Identity,0.9955,0.988,1,0.994,0.002
MATH,Paraphrase,0.9815,0.967,0.996,0.9704999999999999,0.004
MATH,Answer-only,0.9484999999999999,0.934,0.963,0.916,0.007
MATH,CoT comp.,0.9744999999999999,0.96,0.989,0.958,0.005
MATH,Style,0.9615,0.947,0.976,0.9415,0.006
MATH,Temp/top-p,0.9884999999999999,0.974,1,0.9795,0.003
MATH,Mixed 50%,0.9504999999999999,0.936,0.965,0.928,0.01
MATH,Low-score,0.9675,0.953,0.982,0.9464999999999999,0.006
BBH,Identity,0.9904999999999999,0.983,0.998,0.988,0.005
BBH,Paraphrase,0.9764999999999999,0.962,0.991,0.9644999999999999,0.007
BBH,Answer-only,0.9435,0.929,0.958,0.9105000000000001,0.01
BBH,CoT comp.,0.9695,0.955,0.984,0.952,0.008
BBH,Style,0.9564999999999999,0.942,0.971,0.9345000000000001,0.009
BBH,Temp/top-p,0.9835,0.969,0.998,0.9735,0.006
BBH,Mixed 50%,0.9455,0.931,0.96,0.922,0.013
BBH,Low-score,0.9624999999999999,0.948,0.977,0.9395,0.009
ARC-Challenge,Identity,0.9835,0.969,0.998,0.9795,0.008
ARC-Challenge,Paraphrase,0.9695,0.955,0.984,0.9564999999999999,0.01
ARC-Challenge,Answer-only,0.9365000000000001,0.922,0.951,0.9015,0.013
ARC-Challenge,CoT comp.,0.9624999999999999,0.948,0.977,0.9435,0.011
ARC-Challenge,Style,0.9495,0.935,0.964,0.9265000000000001,0.012
ARC-Challenge,Temp/top-p,0.9764999999999999,0.962,0.991,0.9655,0.009
ARC-Challenge,Mixed 50%,0.9384999999999999,0.924,0.953,0.9135,0.016
ARC-Challenge,Low-score,0.9555,0.941,0.97,0.9315,0.012
MBPP,Identity,0.9775,0.963,0.992,0.9724999999999999,0.011
MBPP,Paraphrase,0.9635,0.949,0.978,0.949,0.013
MBPP,Answer-only,0.9305000000000001,0.916,0.945,0.894,0.016
MBPP,CoT comp.,0.9564999999999999,0.942,0.971,0.9365000000000001,0.014
MBPP,Style,0.9435,0.929,0.958,0.9195,0.015
MBPP,Temp/top-p,0.9704999999999999,0.956,0.985,0.958,0.012
MBPP,Mixed 50%,0.9325000000000001,0.918,0.947,0.9055,0.019
MBPP,Low-score,0.9495,0.935,0.964,0.924,0.015
