task,scenario,true_lineage,abstention_rate,false_attribution_rate,coverage
GSM8K,Source Teacher Absent,Qwen2.5-7B,0.953,0.011,0.987
GSM8K,Source Teacher Absent,Llama-3.1-8B,0.952,0.012,0.987
GSM8K,Sibling Teacher Absent,Qwen2.5-7B,0.941,0.014,0.984
GSM8K,Sibling Teacher Absent,Llama-3.1-8B,0.941,0.015,0.985
GSM8K,Unrelated Teacher,Qwen2.5-7B,0.977,0.004,0.994
GSM8K,Unrelated Teacher,Llama-3.1-8B,0.976,0.004,0.994
GSM8K,Public Decoy Present,Qwen2.5-7B,0.991,0.009,0.991
GSM8K,Public Decoy Present,Llama-3.1-8B,0.991,0.01,0.991
MATH,Source Teacher Absent,Qwen2.5-7B,0.951,0.013,0.986
MATH,Source Teacher Absent,Llama-3.1-8B,0.95,0.012,0.986
MATH,Sibling Teacher Absent,Qwen2.5-7B,0.939,0.015,0.983
MATH,Sibling Teacher Absent,Llama-3.1-8B,0.939,0.016,0.984
MATH,Unrelated Teacher,Qwen2.5-7B,0.975,0.006,0.993
MATH,Unrelated Teacher,Llama-3.1-8B,0.975,0.007,0.994
MATH,Public Decoy Present,Qwen2.5-7B,0.988,0.009,0.989
MATH,Public Decoy Present,Llama-3.1-8B,0.987,0.01,0.989
BBH,Source Teacher Absent,Qwen2.5-7B,0.946,0.014,0.984
BBH,Source Teacher Absent,Llama-3.1-8B,0.944,0.013,0.983
BBH,Sibling Teacher Absent,Qwen2.5-7B,0.933,0.016,0.98
BBH,Sibling Teacher Absent,Llama-3.1-8B,0.933,0.017,0.981
BBH,Unrelated Teacher,Qwen2.5-7B,0.97,0.007,0.991
BBH,Unrelated Teacher,Llama-3.1-8B,0.968,0.006,0.99
BBH,Public Decoy Present,Qwen2.5-7B,0.984,0.012,0.988
BBH,Public Decoy Present,Llama-3.1-8B,0.981,0.01,0.986
ARC-Challenge,Source Teacher Absent,Qwen2.5-7B,0.939,0.015,0.981
ARC-Challenge,Source Teacher Absent,Llama-3.1-8B,0.937,0.015,0.979
ARC-Challenge,Sibling Teacher Absent,Qwen2.5-7B,0.926,0.017,0.977
ARC-Challenge,Sibling Teacher Absent,Llama-3.1-8B,0.925,0.017,0.976
ARC-Challenge,Unrelated Teacher,Qwen2.5-7B,0.963,0.008,0.987
ARC-Challenge,Unrelated Teacher,Llama-3.1-8B,0.961,0.008,0.986
ARC-Challenge,Public Decoy Present,Qwen2.5-7B,0.975,0.011,0.983
ARC-Challenge,Public Decoy Present,Llama-3.1-8B,0.975,0.012,0.983
MBPP,Source Teacher Absent,Qwen2.5-7B,0.932,0.016,0.977
MBPP,Source Teacher Absent,Llama-3.1-8B,0.933,0.017,0.978
MBPP,Sibling Teacher Absent,Qwen2.5-7B,0.922,0.02,0.975
MBPP,Sibling Teacher Absent,Llama-3.1-8B,0.919,0.019,0.973
MBPP,Unrelated Teacher,Qwen2.5-7B,0.957,0.009,0.985
MBPP,Unrelated Teacher,Llama-3.1-8B,0.956,0.01,0.984
MBPP,Public Decoy Present,Qwen2.5-7B,0.971,0.014,0.981
MBPP,Public Decoy Present,Llama-3.1-8B,0.969,0.013,0.98
